title,date,venue,price,organizer,description,image_url,concert_link,location,event_type
Harpsichordist Jory Vinikour plays Sparkling Scarlatti Sonatas,"Sat, Jun 28, 8:00 PM",St. Columba’s Episcopal Church,,,,,https://www.eventbrite.com/e/harpsichordist-jory-vinikour-plays-sparkling-scarlatti-sonatas-tickets-1122965633439?aff=ebdssbdestsearch,DC,classical
Classical Guitar Lessons with Roberto Alcaraz,Friday at 3:30 PM,Washington Printmakers Gallery,,,Friday at 3:30 PM + 2 more,,https://www.eventbrite.com/e/classical-guitar-lessons-with-roberto-alcaraz-tickets-1337304476689?aff=ebdssbdestsearch,DC,classical
Washington \| 2025 Scholarship Pianists Debut Recital,"Fri, Jul 18, 7:30 PM","La Maison Française, Embassy of France",,,,,https://www.eventbrite.com/e/washington-2025-scholarship-pianists-debut-recital-tickets-1005831086857?aff=ebdssbdestsearch,DC,classical
"Classical Open Mic - June 21st, 2025",Saturday at 7:30 PM,Cherrydale United Methodist Church,,,,,https://www.eventbrite.com/e/classical-open-mic-june-21st-2025-tickets-1399983250589?aff=ebdssbdestsearch,DC,classical
